Property ,Barangay,Land Area,Floor Area,Classification,No. of storey,Structural Type,Roof Framing,Roofing,Exterior Walls,Flooring,Doors,Ceiling,Windows,Stairs,Wall Finish,Electrical Conduit,Toilet & Bowl,Plumbing,Market Value
Property 1,Canelar,665,354.08,Residential,2,2-A,Steel,GI,Cement Plaster,Tiles,WOOD,Plywood,Glass,CONC.,Cement Plaster,PVC,Tiles,PVC,1000000
Property 2,Canelar,104,71.25,Residential,1,3-A,Steel,Long Span,CHB,Tiles,WOOD,Plywood,Alum. Casement,CONC.,Plain Cement Paint,Polyflex,Tiles,PVC,413000
Property 3,Canelar,406,210.3,Residential,1,,Steel,GI,CHB,Tiles,WOOD,Plywood,Glass,CONC.,Cement Plaster,PVC,Tiles,PVC,727910
Property 4,Canelar,240,81,Residential,1,2-A,Steel,Long Span,CHB,Tiles,WOOD,Plywood,Alum. Casement,CONC.,Cement Plaster,Polyflex,Tiles,PVC,610000
Property 5,Santa Maria,314,1314,Commercial,4,2-A,Steel,GI,CHB,Tiles,Flush,,Alum. Casement,CONC.,Cement Plaster,PVC,Tiles,GI,7393688
Property 6,Santa Maria,300,98.83,Residential,2,2-A,Steel,Long Span,CHB,Tiles,WOOD,Plywood,Glass,,CHB,PVC,Tiles,PVC,560650
Property 7,Santa Maria,206,111.26,Residential,2,,Steel,GI,CHB,Tiles,WOOD,Wood,Glass,CONC.,Cement Plaster,PVC,Tiles,PVC,1000000
Property 8,Santa Maria,300,81,Residential,2,2-A,Wooden,GI,CHB,Tiles,PANEL,Plywood,Jalousie,,Plain Cement Paint,Conduit Pipe,Tiles,PVC,400000
Property 9,Santa Maria,237,160,Residential,1,2-B,Wooden,GI,CHB,Concrete,ROLL UP,Plywood,Jalousie,WOODEN,CHB,Polyflex,CHB,PVC,440320
Property 10,Santa Maria,300,106.4,Residential,2,3-A,Wooden,GI,Cement Plaster,Concrete,Flush,Plywood,Wood,WOODEN,CHB,Open,CHB,PVC,505400
Property 11,Santa Maria,300,25.6,Residential,2,3-A,Wooden,GI,Cement Plaster,Concrete,Flush,Plywood,Wood,WOODEN,CHB,Open,CHB,PVC,132860
Property 12,Santa Maria,300,189.75,Residential,2,3-A,Wooden,GI,Cement Plaster,Tiles,WOOD,Plywood,Glass,WOODEN,CHB,PVC,Tiles,PVC,788630
Property 13,Santa Maria,137,40,Residential,1,2-B,Steel,GI,CHB,Concrete,WOOD,Plywood,Glass,,Cement Plaster,Polyflex,Tiles,PVC,230000
Property 14,Santa Maria,688,97.7,Residential,1,3-A,Wooden,GI,CHB,Concrete,WOOD,Plywood,Glass,WOODEN,CHB,PVC,Tiles,PVC,423000
Property 15,Santa Maria,851,98,Residential,1,2-B,Lumber,GI,CHB,Tiles,Flush,Plywood,Jalousie,,Plain Cement Paint,Polyflex,Tiles,PVC,400000
Property 16,Santa Maria,138,99.12,Residential,2,2-A,Wooden,Long Span,Cement Plaster,Tiles,WOOD,Plywood,Glass,RC,Cement Plaster,PVC,Tiles,PVC,638080
Property 17,Santa Maria,150,48.8,Residential,1,2-A,Steel,GI,CHB,Tiles,WOOD,Wood,Glass,,Cement Plaster,PVC,Tiles,PVC,320616
Property 18,Santa Maria,,164.63,Residential,2,2-A,Steel,Long Span,Cement Plaster,Tiles,PANEL,Plywood,Glass,RC,Cement Plaster,PVC,Tiles,PVC,1081620
Property 19,Santa Maria,322,79,Residential,2,2-A,Wooden,GI,CHB,Concrete,PANEL,Plywood,Jalousie,WOODEN,Cement Plaster,PVC,Tiles,GI,300000
Property 20,Santa Maria,600,110,Residential,2,3-B,Wooden,GI,Wood,Concrete,WOOD,Wood,Wood,WOODEN,Plain Cement Paint,PVC,CHB,,528000
Property 21,Santa Maria,800,140,Residential,1,2-B,RC,Long Span,CHB,Tiles,Plywood,Plywood,Jalousie,,Plain Cement Paint,PVC,Tiles,PVC,534896.25
Property 22,Santa Maria,200,63,Residential,1,3-A,Wooden,GI,Cement Plaster,Concrete,WOOD,Wood,Jalousie,,Cement Plaster,PVC,Tiles,,200000
Property 23,Santa Maria,500,164,Residential,1,2-B,Steel,Long Span,CHB,Tiles,WOOD,Plywood,Glass,,CHB,PVC,Tiles,PVC,970000
Property 24,Santa Maria,150,71.5,Residential,1,2-A,Steel,GI,CHB,Tiles,PANEL,Plywood,Glass,,CHB,Polyflex,Tiles,PVC,700000
Property 25,Santa Maria,324,176,Residential,2,2-A,Steel,GI,CHB,Tiles,Flush,Plywood,Glass,CONC.,Plain Cement Paint,UPVC,Tiles,PVC,861984
Property 26,Santa Maria,,356,Residential,1,3-A,Wooden,GI,CHB,Concrete,Flush,Plywood,Jalousie,,,,,,1200000
Property 27,Santa Maria,361,175,Residential,2,2-A,Steel,Long Span,CHB,Tiles,WOOD,Plywood,Alum. Casement,RC,Plain Cement Paint,Polyflex,Tiles,PVC,1100000
Property 28,Santa Maria,200,89.25,Residential,1,2-A,Steel,Long Span,CHB,Tiles,PANEL,Plywood,Glass,CONC.,CHB,PVC,Tiles,PVC,590000
Property 29,Tetuan,312,50.6,Residential,1,2-A,Wooden,GI,CHB,Concrete,Flush,Plywood,Steel Casement,,CHB,Polyflex,Tiles,PVC,265000
Property 30,Tetuan,99,98,Residential,2,,Lumber,GI,CHB,Tiles,Flush,Plywood,Jalousie,WOODEN,Plain Cement Paint,Polyflex,Tiles,PVC,371038
Property 31,Tetuan,327,340,Residential,2,2-A,Steel,Long Span,CHB,Tiles,Flush,Plywood,Glass,RC,CHB,PVC,Tiles,PVC,2400000
Property 32,Tetuan,224,84,Residential,1,2-A,Steel,Long Span,CHB,Tiles,PANEL,Plywood,Steel Casement,,Cement Plaster,PVC,Tiles,PVC,522320
Property 33,Tetuan,642,103.31,Residential,1,2-A,Wooden,GI,CHB,Tiles,WOOD,Plywood,Glass,,CHB,PVC,Tiles,PVC,678750
Property 34,Tetuan,140,137.2,Residential,2,2-A,Steel,Long Span,CHB,Tiles,Flush,Plywood,Glass,RC,CHB,PVC,Tiles,PVC,850000
Property 35,Tetuan,123,168.4,Residential,2,3-A,Lumber,GI,CHB,Concrete,Flush,Plywood,Jalousie,WOODEN,Plain Cement Paint,Polyflex,CHB,PVC,568410
Property 36,Tetuan,150,63.25,Residential,1,,Lumber,GI,CHB,Concrete,Flush,Plywood,Jalousie,,Plain Cement Paint,Polyflex,CHB,PVC,310751
Property 37,Tetuan,140,137.2,Residential,2,2-A,Steel,Long Span,CHB,Tiles,Flush,Plywood,Glass,RC,CHB,PVC,Tiles,PVC,850000
Property 38,Tetuan,90,90.6,Residential,2,2-A,Steel,Long Span,CHB,Tiles,PANEL,Plywood,Glass,RC,Cement Plaster,PVC,Tiles,PVC,560550
Property 39,Tetuan,277,130,Residential,1,3-A,Lumber,GI,Wood,Tiles,HCPD/WFPD,Plywood,Glass,RC,Cement Plaster,PVC,Tiles,GI,176000
Property 40,Tetuan,273,250,Residential,2,2-B,RC,Concrete,Cement Plaster,Concrete,WOOD,Plywood,Glass,CONC.,Cement Plaster,PVC,Tiles,PVC,500000
Property 41,Tetuan,350,272,Residential,3,2-B,Steel,GI,CHB,Concrete,PANEL,Unfinished,Glass,CONC.,CHB,Polyflex,Tiles,PVC,680000
Property 42,Tetuan,961,192.75,Residential,2,2-A,Steel,GI,CHB,Concrete,HCPD/WFPD,Plywood,SCFW,,Cement Plaster,Conduit Pipe,Tiles,PVC,507000
Property 43,Tetuan,961,48,Residential,1,3-B,Lumber,GI,Wood,Concrete,WOOD,Plywood,Wood,RC,Cement Plaster,Open,CHB,Open,179700
Property 44,Tetuan,301,140,Residential,1,3-A,Wooden,GI,CHB,Concrete,PANEL,Plywood,Glass,,Cement Plaster,PVC,Tiles,PVC,494090
Property 45,Tetuan,403,207.54,Residential,1,2-A,Steel,S-Tile,CHB,Tiles,HCPD/WFPD,Plywood,WFPD,,Cement Plaster,Conduit Pipe,Tiles,PVC,450000
Property 46,Tetuan,633,108,Residential,1,2-A,Wooden,GI,CHB,Tiles,PANEL,Plywood,Glass,,ADOBE,Conduit Pipe,Tiles,GI,280000
Property 47,Tetuan,250,66.55,Residential,1,2-B,Lumber,GI,PAINTED,Wood,Flush,Plywood,Jalousie,WOODEN,Plain Cement Paint,PVC,Tiles,PVC,185000
Property 48,Tetuan,217,324.79,Residential,2,1-B,Steel,Long Span,CHB,Tiles,WOOD,Plywood,Glass,RC,CHB,PVC,CHB,PVC,1700000
Property 49,Tetuan,200,245.26,Residential,2,2-A,Steel,Long Span,CHB,Tiles,Flush,Plywood,Glass,RC,CHB,PVC,Tiles,PVC,1300000
Property 50,Tetuan,150,353.76,Residential,3,2-A,Steel,Long Span,Cement Plaster,Tiles,WOOD,Plywood,Glass,RC,CHB,PVC,Tiles,PVC,2324200
Property 51,Tetuan,247,637,Residential,3,2-A,Steel,Long Span,Cement Plaster,Tiles,WOOD,Wood,Steel Casement,RC,Cement Plaster,PVC,Tiles,PVC,2854000
Property 52,Tetuan,2000,435,Commercial,1,2-B,,Concrete,Cement Plaster,Tiles,ROLL UP,,Glass,,Cement Plaster,PVC,Tiles,PVC,1776670
Property 53,San Jose Gusu,65,10.5,Residential,1,,Lumber,GI,CHB,Concrete,Flush,,Jalousie,,Cement Plaster,Polyflex,CHB,PVC,60270
Property 54,San Jose Gusu,141,45.5,Residential,1,,Lumber,GI,Wood,Wood,WOOD,,Jalousie,WOODEN,,PDX,CHB,PVC,185600
Property 55,San Jose Gusu,160,81.15,Residential,1,,Lumber,GI,CHB,Concrete,Flush,,Jalousie,,,Polyflex,CHB,PVC,238190
Property 56,San Jose Gusu,139,119.88,Residential,1,,Lumber,GI,CHB,Concrete,Flush,Plywood,French Window,,Plain Cement Paint,Polyflex,CHB,PVC,345254
Property 57,San Jose Gusu,68,47.15,Residential,1,,Lumber,GI,CHB,Concrete,Flush,,French Window,,Plain Cement Paint,Polyflex,CHB,PVC,226500
Property 58,San Jose Gusu,150,83.85,Residential,1,,Lumber,GI,CHB,Concrete,Flush,Plywood,Jalousie,,,Polyflex,CHB,PVC,321984
Property 59,San Jose Gusu,69,147.16,Residential,2,,Lumber,GI,CHB,Concrete,Flush,,Jalousie,WOODEN,Plain Cement Paint,PDX,CHB,PVC,353184
Property 60,San Jose Gusu,138,126.3,Residential,2,,C-Purlins,GI,CHB,Concrete,Flush,Plywood,Jalousie,CONC.,Plain Cement Paint,Polyflex,CHB,PVC,356933
Property 61,San Jose Gusu,81,143,Residential,2,,Lumber,GI,CHB,Tiles,Flush,Plywood,Jalousie,CONC.,Plain Cement Paint,Polyflex,Tiles,PVC,326304
Property 62,San Jose Gusu,52,42.4,Residential,1,,Lumber,GI,CHB,Concrete,Flush,,Jalousie,,CHB,Polyflex,CHB,PVC,203520
Property 63,San Jose Gusu,63,26,Residential,1,,Lumber,GI,CHB,Concrete,Flush,,Jalousie,WOODEN,,PDX,CHB,PVC,124800
Property 64,San Jose Gusu,156,85.5,Residential,1,,Lumber,GI,CHB,Tiles,Flush,Plywood,Jalousie,,Plain Cement Paint,Polyflex,CHB,PVC,320292
Property 65,San Jose Gusu,48,82.5,Residential,2,,Lumber,GI,CHB,Concrete,Flush,,Jalousie,CONC.,,PDX,CHB,PVC,277200
Property 66,San Jose Gusu,168,68,Residential,1,,Lumber,GI,CHB,Concrete,Flush,Plywood,Jalousie,,CHB,PDX,CHB,PVC,326400
Property 67,San Jose Gusu,206,191.92,Residential,2,2-B,Steel,Long Span,CHB,Tiles,WOOD,Plywood,Glass,RC,CHB,PVC,Tiles,PVC,973250
Property 68,San Jose Gusu,413,156.9,Residential,1,2-B,Steel,Long Span,CHB,Tiles,WOOD,Plywood,Glass,,CHB,PVC,Tiles,PVC,857560
Property 69,San Jose Gusu,412,199.6,Residential,2,2-B,Steel,Long Span,CHB,Tiles,WOOD,Plywood,Glass,RC,CHB,PVC,Tiles,PVC,984290
Property 70,San Jose Gusu,242,154.2,Residential,2,3-A,Wooden,GI,CHB,Tiles,WOOD,Plywood,Glass,RC,CHB,,,,773050
Property 71,San Jose Gusu,416,244.35,Residential,2,2-B,Steel,Long Span,CHB,Tiles,WOOD,Plywood,Glass,RC,CHB,,,,1135840
