Barangay,Classification,Area (hectares),Actual Use,Product Class,Abaca,Banana Hills,Coconut Trees,Cocot Trees,Mango Trees,Marang Trees,Coffee,Juani,Nangca,Non-Fruit,Fruit,Effectivity,Market Value
Cabatangan,Aggricultural,0.9077,Coco Land,Coconut-1st,0,0,90,0,0,0,0,0,0,,90,2012,46450
Cabatangan,Aggricultural,0.9077,Coco Land,Coconut-1st,0,0,90,0,0,0,0,0,0,,90,2012,17550
Cabatangan,Aggricultural,0.31,Coco Land,CTB,0,0,5,0,0,0,0,0,0,,5,2012,449490
Cabatangan,Aggricultural,1.382,Coco Land,CTB,0,0,50,0,0,0,0,0,0,,50,2012,371480
Cabatangan,Aggricultural,1.0954,Coco Land,CTB,0,0,40,0,0,0,0,0,0,,40,2012,125990
Cabatangan,Aggricultural,8.6846,Coco Land,Coconut-1st,0,0,300,0,0,0,0,0,0,,300,2012,125990
Cabatangan,Aggricultural,3.0912,Coco Land,CTB,0,0,180,0,0,0,0,0,0,,180,2012,1512700
Cabatangan,Aggricultural,4.529,Coco Land,CTB,0,0,245,0,0,0,0,0,0,,245,2012,2134490
Cabatangan,Aggricultural,0.4241,Coco Land,Coconut-1st,0,0,40,0,0,0,0,0,0,,40,2012,8160
Cabatangan,Aggricultural,0.15,Coco Land,CTB,0,0,10,0,0,0,0,0,0,,10,2012,90760
Cabatangan,Aggricultural,0.1215,Coco Land,Coconut-1st,0,0,10,0,0,0,0,0,0,,10,2012,2170
Cabatangan,Aggricultural,0.1215,Coco Land,CTB,0,0,10,0,0,0,0,0,0,,10,2012,85590
Cabatangan,Aggricultural,4.0331,Coco Land,CTB,0,0,400,0,0,0,0,0,0,,400,2012,3455940
Cabatangan,Aggricultural,0.576,Coco Land,CTB,0,0,25,0,0,0,0,0,0,,25,2012,223740
Cabatangan,Aggricultural,0.5561,Coco Land,CTB,0,0,40,0,0,0,0,0,0,,40,2012,366610
Cabatangan,Aggricultural,5,"Abaca Land, Coconut Land","Abaca,Coconut,Marang",2,0,300,0,0,10,0,0,0,,312,2012,36280
