brgy,land_area,floor_area,classification,storey,roof_framing,roofing,ext_walls,flooring,doors,ceiling,windows,wall_finish,elect_conduit,toilet,plumbing,target_value
0,665.0,354.08,1,2,5.0,2,1.0,1.0,6.0,0.0,2.0,1.0,8.0,1.0,2.0,1000000.0
0,104.0,71.25,1,1,5.0,3,2.0,1.0,6.0,0.0,0.0,3.0,7.0,1.0,2.0,413000.0
0,406.0,210.3,1,1,5.0,2,2.0,1.0,6.0,0.0,2.0,1.0,8.0,1.0,2.0,727910.0
0,240.0,81.0,1,1,5.0,3,2.0,1.0,6.0,0.0,0.0,1.0,7.0,1.0,2.0,610000.0
5,314.0,1314.0,0,4,5.0,2,2.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,7393688.0
5,300.0,98.83,1,2,5.0,3,2.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,560650.0
5,206.0,111.26,1,2,5.0,2,2.0,1.0,6.0,3.0,2.0,1.0,8.0,1.0,2.0,1000000.0
5,300.0,81.0,1,2,6.0,2,2.0,1.0,3.0,0.0,3.0,3.0,2.0,1.0,2.0,400000.0
5,237.0,160.0,1,1,6.0,2,2.0,0.0,5.0,0.0,3.0,2.0,7.0,0.0,2.0,440320.0
5,300.0,106.4,1,2,6.0,2,1.0,0.0,0.0,0.0,7.0,2.0,4.0,0.0,2.0,505400.0
5,300.0,25.6,1,2,6.0,2,1.0,0.0,0.0,0.0,7.0,2.0,4.0,0.0,2.0,132860.0
5,300.0,189.75,1,2,6.0,2,1.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,788630.0
5,137.0,40.0,1,1,5.0,2,2.0,0.0,6.0,0.0,2.0,1.0,7.0,1.0,2.0,230000.0
5,688.0,97.7,1,1,6.0,2,2.0,0.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,423000.0
5,851.0,98.0,1,1,2.0,2,2.0,1.0,0.0,0.0,3.0,3.0,7.0,1.0,2.0,400000.0
5,138.0,99.12,1,2,6.0,3,1.0,1.0,6.0,0.0,2.0,1.0,8.0,1.0,2.0,638080.0
5,150.0,48.8,1,1,5.0,2,2.0,1.0,6.0,3.0,2.0,1.0,8.0,1.0,2.0,320616.0
5,263.0,164.63,1,2,5.0,3,1.0,1.0,3.0,0.0,2.0,1.0,8.0,1.0,2.0,1081620.0
5,322.0,79.0,1,2,6.0,2,2.0,0.0,3.0,0.0,3.0,1.0,8.0,1.0,0.0,300000.0
5,600.0,110.0,1,2,6.0,2,4.0,0.0,6.0,3.0,7.0,3.0,8.0,0.0,2.0,528000.0
5,800.0,140.0,1,1,4.0,3,2.0,1.0,4.0,0.0,3.0,3.0,8.0,1.0,2.0,534896.25
5,200.0,63.0,1,1,6.0,2,1.0,0.0,6.0,3.0,3.0,1.0,8.0,1.0,2.0,200000.0
5,500.0,164.0,1,1,5.0,3,2.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,970000.0
5,150.0,71.5,1,1,5.0,2,2.0,1.0,3.0,0.0,2.0,2.0,7.0,1.0,2.0,700000.0
5,324.0,176.0,1,2,5.0,2,2.0,1.0,0.0,0.0,2.0,3.0,10.0,1.0,2.0,861984.0
